transaction_id,date,type,amount,currency,description,counterparty,location,channel
TXN349379,3/12/2026,UPI Payment,16117.7,INR,Monthly salary,XYZ Bank ATM,Bangalore,Online
TXN673696,2/3/2026,Fund Transfer,16547.26,INR,Online purchase,Family Member,Bangalore,ATM
TXN997435,3/27/2026,Salary Credit,24514.83,INR,Monthly salary,Online Merchant,Chennai,Branch
TXN242188,1/31/2026,Online Shopping,21757.88,INR,Online purchase,Family Member,Mumbai,Online
TXN853434,1/24/2026,ATM Withdrawal,5457.56,INR,ATM cash withdrawal,ABC Company Pvt Ltd,Bangalore,Online
TXN530968,1/21/2026,UPI Payment,13186.35,INR,Transfer to family member,ABC Company Pvt Ltd,Chennai,Branch
TXN662057,2/3/2026,Bill Payment,20663.48,INR,UPI payment to merchant,Family Member,Mumbai,Branch
TXN449495,2/20/2026,Fund Transfer,15337.29,INR,ATM cash withdrawal,Family Member,Kolkata,ATM
TXN592769,2/15/2026,ATM Withdrawal,22406.86,INR,Transfer to family member,Online Merchant,Delhi,Mobile App
TXN487015,2/28/2026,Bill Payment,4770.78,INR,Utility bill payment,XYZ Bank ATM,Delhi,Mobile App
TXN205275,2/11/2026,Fund Transfer,1568.73,INR,Transfer to family member,XYZ Bank ATM,Kolkata,Mobile App
TXN287695,1/9/2026,Salary Credit,14104.63,INR,ATM cash withdrawal,Family Member,Bangalore,ATM
TXN651089,1/17/2026,Salary Credit,11438.31,INR,Utility bill payment,Online Merchant,Mumbai,ATM
TXN749983,1/10/2026,Bill Payment,24336.36,INR,Online purchase,XYZ Bank ATM,Mumbai,Mobile App
TXN726341,2/13/2026,Bill Payment,18549.84,INR,Utility bill payment,ABC Company Pvt Ltd,Bangalore,ATM
TXN786872,3/18/2026,ATM Withdrawal,19432.34,INR,Monthly salary,Online Merchant,Delhi,Branch
TXN119267,2/1/2026,Salary Credit,10507.1,INR,UPI payment to merchant,XYZ Bank ATM,Delhi,Branch
TXN309223,1/3/2026,UPI Payment,12183.44,INR,ATM cash withdrawal,Online Merchant,Bangalore,Mobile App
TXN565234,1/27/2026,Bill Payment,10060.39,INR,Utility bill payment,Utility Provider,Chennai,ATM
TXN104779,1/28/2026,ATM Withdrawal,5127.96,INR,Utility bill payment,ABC Company Pvt Ltd,Mumbai,Online
TXN220928,3/20/2026,ATM Withdrawal,17675.3,INR,Transfer to family member,Online Merchant,Mumbai,Branch
TXN422337,3/9/2026,Online Shopping,20850.01,INR,Transfer to family member,Online Merchant,Kolkata,Mobile App
TXN115530,12/29/2025,Fund Transfer,9389.06,INR,UPI payment to merchant,ABC Company Pvt Ltd,Kolkata,Mobile App
TXN645247,3/23/2026,Online Shopping,8806.53,INR,Monthly salary,ABC Company Pvt Ltd,Kolkata,Mobile App
TXN489797,2/27/2026,UPI Payment,6661.64,INR,Utility bill payment,ABC Company Pvt Ltd,Delhi,ATM
